nom_subreg,nom_depto,cod_depto,cod_subreg,cod_muni,nom_muni
ALTO PATÍA Y NORTE DEL CAUCA,CAUCA,19,1,19050,ARGELIA
ALTO PATÍA Y NORTE DEL CAUCA,CAUCA,19,1,19075,BALBOA
ALTO PATÍA Y NORTE DEL CAUCA,CAUCA,19,1,19110,BUENOS AIRES
ALTO PATÍA Y NORTE DEL CAUCA,CAUCA,19,1,19130,CAJIBÍO
ALTO PATÍA Y NORTE DEL CAUCA,CAUCA,19,1,19137,CALDONO
ALTO PATÍA Y NORTE DEL CAUCA,CAUCA,19,1,19142,CALOTO
ALTO PATÍA Y NORTE DEL CAUCA,CAUCA,19,1,19212,CORINTO
ALTO PATÍA Y NORTE DEL CAUCA,CAUCA,19,1,19256,EL TAMBO
ALTO PATÍA Y NORTE DEL CAUCA,CAUCA,19,1,19364,JAMBALÓ
ALTO PATÍA Y NORTE DEL CAUCA,CAUCA,19,1,19450,MERCADERES
ALTO PATÍA Y NORTE DEL CAUCA,CAUCA,19,1,19455,MIRANDA
ALTO PATÍA Y NORTE DEL CAUCA,CAUCA,19,1,19473,MORALES
ALTO PATÍA Y NORTE DEL CAUCA,CAUCA,19,1,19532,PATÍA
ALTO PATÍA Y NORTE DEL CAUCA,CAUCA,19,1,19548,PIENDAMÓ
ALTO PATÍA Y NORTE DEL CAUCA,CAUCA,19,1,19698,SANTANDER DE QUILICHAO
ALTO PATÍA Y NORTE DEL CAUCA,CAUCA,19,1,19780,SUÁREZ
ALTO PATÍA Y NORTE DEL CAUCA,CAUCA,19,1,19821,TORIBIO
ALTO PATÍA Y NORTE DEL CAUCA,NARIÑO,52,1,52233,CUMBITARA
ALTO PATÍA Y NORTE DEL CAUCA,NARIÑO,52,1,52256,EL ROSARIO
ALTO PATÍA Y NORTE DEL CAUCA,NARIÑO,52,1,52405,LEIVA
ALTO PATÍA Y NORTE DEL CAUCA,NARIÑO,52,1,52418,LOS ANDES
ALTO PATÍA Y NORTE DEL CAUCA,NARIÑO,52,1,52540,POLICARPA
ALTO PATÍA Y NORTE DEL CAUCA,VALLE DEL CAUCA,76,1,76275,FLORIDA
ALTO PATÍA Y NORTE DEL CAUCA,VALLE DEL CAUCA,76,1,76563,PRADERA
ARAUCA,ARAUCA,81,2,81065,ARAUQUITA
ARAUCA,ARAUCA,81,2,81300,FORTUL
ARAUCA,ARAUCA,81,2,81736,SARAVENA
ARAUCA,ARAUCA,81,2,81794,TAME
BAJO CAUCA Y NORDESTE ANTIOQUEÑO,ANTIOQUIA,05,3,05031,AMALFI
BAJO CAUCA Y NORDESTE ANTIOQUEÑO,ANTIOQUIA,05,3,05040,ANORÍ
BAJO CAUCA Y NORDESTE ANTIOQUEÑO,ANTIOQUIA,05,3,05107,BRICEÑO
BAJO CAUCA Y NORDESTE ANTIOQUEÑO,ANTIOQUIA,05,3,05120,CÁCERES
BAJO CAUCA Y NORDESTE ANTIOQUEÑO,ANTIOQUIA,05,3,05154,CAUCASIA
BAJO CAUCA Y NORDESTE ANTIOQUEÑO,ANTIOQUIA,05,3,05250,EL BAGRE
BAJO CAUCA Y NORDESTE ANTIOQUEÑO,ANTIOQUIA,05,3,05361,ITUANGO
